ID,Are you filling this form out during your session? ,Scaled Questions [The Design Center provides a welcoming environment to learn new technologies.],Scaled Questions [I have experience working with electronics.],Scaled Questions [I perceive barriers to learning electronics.],Scaled Questions [I would experiment with electronics in the Design Center.],Scaled Questions [I feel intimidated by experimenting with electronics at my current knowledge level.],Scaled Questions [I feel ready to experiment with electronics at my current knowledge level.],"Scaled Questions [In the past, I have used zines to learn.]","Scaled Questions [In the past, I have used online resources to learn.]",Visual,Kinesthetic,Auditory,Read/ Write,Social,Solitary,How long did you spend reading the material? Type one number in minutes. Ex: 12,How busy was the Design Center during your session?,Scaled Questions [I feel confident to try this project in the Design Center.],"Scaled Questions [After this learning experience, I am interested in exploring other electronic projects in the Design Center.]",Scaled Questions [I felt supported in my learning through the format of the material.],Scaled Questions [The format of the material enhanced my learning and understanding.],Scaled Questions [I feel intimidated by experimenting with electronics at my current knowledge level.],Scaled Questions [I feel ready to experiment with electronics at my current knowledge level.],Scaled Questions [I felt engaged with the material while reviewing it.],Scaled Questions [The instructional material met my expectations in terms of providing useful information.],Scaled Questions [I have gained a deeper understanding of how electronic circuits work.],Scaled Questions [The busyness of the Design Center improved my learning. ],Scaled Questions [The busyness of the Design Center hindered my learning.],"[Pre]
Please describe any barriers you experience when learning or thinking about learning electronics. How does this make you feel? Please provide 5-7 sentences.","[Post]
Describe your perceptions of the learning material. What did you like about the format of the information? What did you dislike? How did these elements make you feel while you were learning? Please provide 5-7 sentences."
11,0,5,5,2,5,3,4,4,5,1,1,0,0,1,0,15,2,3,4,2,4,4,3,3,3,5,4,2,"With learning electronics, I hope to build off of the little experience I have. I’ve watched others solder but haven’t done it myself. I’m nervous that I’ll make a mistake at some point in soldering that makes my previous efforts unusable. I’m not sure yet how forgiving of a craft electronics is. However, these doubts I have do not stop me from wanting to learn electronics, and I would prefer to learn a physical craft like this rather than a software. ","I found the first article to be most useful through its analogy of the radiator system. Also, I found the step-by-step instructions in ""Activity 1: Completing the circuit"" extremely helpful for visualizing the project, as well as the list of causes for error. The two articles about the Joystick Interactive circuit project were helpful to me as a way to see what the path of learning electronics may look like, but I think I would have understood these articles much better if there was a video of the project or more photos as I learn better from visual aid. I found the Arduino article most difficult to understand, and feel as though I'm still not quite sure what it is. I think I found this article least helpful because of the lack of visual aid. "
12,1,4,4,4,4,4,2,5,5,1,1,1,1,0,1,20,2,2,4,2,3,5,2,2,3,4,3,2,I am intimidated by the science of electronics and I struggle with understanding the scientific and mathematic concepts when it comes to learning electronics. If using the electronic is mostly manual then I feel more comfortable using especially if a tutorial is offered. I have a really hard time following written instructions so I prefer someone modeling them for me or using words to tell me what to do.,I like that the sources mentioned that this was beginner friendly because it was affirming to hear that. I liked the inclusion of images in the texts. I didn't like having to read so much because it kind of made me feel very scrambled as it was mostly new information. The amount of words made me feel intimidated and demotivated to read and fully understand the topic.
13,1,5,2,4,3,4,2,3,5,0,1,1,0,1,0,11,2,4,2,2,3,4,3,1,4,3,2,4,"I took physics-ish classes in middle and high school and had to do some basic electronics work (building circuits, building a mini car with a motor and lights, etc) and learned about basic electronics principles/formulas. Since then, I have not done any work with electronics since I am not in a space that requires it and I don't feel particularly drawn to the subject (though I have changed a couple light bulbs in my day). It seems really cool though and a good skill to have. Since it is not something I encounter in my day-to-day, it's not something that causes me much anxiety or self-consciousness, but I guess if I were in a situation that required that type of knowledge, I would feel pretty lost. The main barriers I would say are just a lack of exposure. ","I found the readings to be a little dry, even though they were aimed at people with little to no experience with electronics. I appreciated that things were broken down thoroughly and (in the first reading) the use of an analogy was helpful. However, I found the format to be too word-heavy without enough visual supplements. Considering they were explaining a physical project/item, I think more visual elements would be helpful. Additionally, I did not have a good enough of a grasp of the basic concepts to be able to actually understand how and why something was happening. I found myself relying more on my knowledge from middle and high school to make sense of things than the information in the readings. "
14,0,5,4,4,4,4,4,5,5,1,1,1,1,1,1,20,2,2,5,2,2,3,4,2,2,3,1,5,"I feel intimidated knowing where to begin sometimes. It helps having some guidance on projects to try, or reliable resources for information. Having a walk-through or manual of basic functions also helps to increase my familiarity and comfort experimenting with devices.","It was described in clear words, but there were not enough visuals to accompany the instructions and sorting through various links & resources distracted from my focus on the actual content being described. It would have been easier to follow if I had the described tools in front of me while reading, to follow along and understand what they were talking about. I have seen a breadbox, LED, and other circuitboards (not Arduino) before, which helped me visualize and understand somewhat, but without background knowledge I think I would have been lost. Also, the text-only format was difficult to focus on while people talked and worked in the background. I had to use noise-canceling headphones to absorb the information.  "
15,0,4,3,3,4,3,4,4,4,1,0,0,1,0,1,18,2,3,4,3,4,5,4,2,4,4,1,5,"I believe the primary barriers that I experience are access to electronics, and guidance or pedagogical support. Given that I have a laptop with common software (i.e. a Macbook without any additional apps) and an iPad, I would have to go out of my way in accessing more complex and/or expensive electronics. Although I do not have a solid foundation in computer science, I do have an intermediate level of digital literacy that would allow me to feel comfort exploring unfamiliar electronics. The more dynamic applications, however, are most likely beyond my knowledge at this point. I have always thought that electronics were fascinating, and beyond the basic, everyday tools that I use, just outside of my reach. I am open to learning more about electronics, and breaking some of these barriers in the future. ","The first article reminded me of Wikipedia in its format, which for some reason made it much more difficult to fully engage with. The organization of the page, as well as aesthetic things like the font, made it hard to focus on the information. The Arduino and Joystick pages were the most enjoyable to access—particularly due to the formatting, length, and clarity. Although I recognize that the language was concise and straightforward, I think the vocabulary in the first article made it hard to truly dig into the concepts. Some sort of glossary or something would have been helpful. More than anything, I was really distracted by the mechanical noice and chatter surrounding me. At one point, I tried to put my fingers in my ears to drown out the sound. Overall, I think I came out of it with a decent understanding of what breadboards are and how one might add components to create different types of circuits. A quieter environment would have been more suitable to my learning style and attention span."
16,0,4,4,4,5,4,2,4,5,1,1,0,0,1,0,13,1,2,4,2,2,4,4,2,4,4,3,3,"I’m not a STEM major and not the most familiar with electronics, so it makes me a bit hesitant to try to work with them, especially as I’m nervous about making mistakes or embarrassing myself in front of those who are better at it (anxiety thing). But I do want to learn, as I think it’d be a cool activity and skill to have. As a humanities/social sciences major, I sometimes feel like ""it's not for me"" or that my background (or lack of it) in tech would inhibit working with electronics. I also know it's very much possible to learn tech skills, but the intimidation/learning curve is strong. Though I know if I did learn and be more confident, it would benefit me in the long run. I just hold myself back it seems by saying I don't have time or energy to make the effort.","The design and build lab page was a lot of text and felt like reading a Wikipedia page. Sometimes I would see a new term or unfamiliar acronym somewhere down the page and have to scroll up to try and find the definition again. The analogy of the hot water tank was helpful, I wish there were more analogies where applicable (?). I think the Arduino page was a bit easier to read; I liked the pros/cons list as it helped me get more familiar and the hyperlinks to other sources (I didn't click on them, but knowing that I could go to another page to access more info was good). For the other two links, I preferred the one with the schematics -- for someone still new and not comfortable with all the terms yet, having a visual guide makes me feel more confident if I were to do the project. Overall, pictures and broken up text is better for me than large blocks of text, even if the text is more detailed. "
17,0,5,5,4,1,4,2,5,5,0,0,1,1,1,1,13,1,4,3,4,2,2,4,2,4,4,4,2,I often feel like the instructions are not always helpful and I get intimidated when things don't work right away. I feel that I could mess something up if I incorrectly press something. ,"I liked that there were pictures and no dense instructions. Instructions were straightforward and not too wordy and not too technical. I have experience with circuits so this material was not as intimidating, but I feel like if I didn't know circuits, I could get confused from the background. I think it could be more enganging."
18,0,5,2,4,3,4,2,5,5,1,1,0,1,1,0,14,2,5,3,3,2,5,1,2,4,3,1,5,"For starters, I am not entirely sure what exactly fits under the category of electronics. I am not a very technologically savvy person and struggle with learning new technologies and oftentimes feel discouraged to do so. I think it stems from an intimidation of how rapidly our technologies are evolving which causes me to feel overwhelmed and opposed to changing the way I have been utilizing electronics/technology up until that point (sort of like a comfort in a routine). If there is a way to learn electronics in a much more accessible and less intimidating environment with step-by-step and hands-on instructions, I may feel more comfortable doing so. I hope this makes sense!","I did feel that the instructions in the written material were clear and concise however since I had zero knowledge of electronics prior to this study, I still don't feel confident in attempting any of these projects. I think I need to read over the written material multiple times before it actually clicks for me. I read through everything slowly only once. I think I would have understood the material better had I been introduced to the material in a more hands-on visual format so either through a zine, an interactive lecture, or a hands-on live demonstration. The visuals that were provided in the written materials did not make much sense to me since the actual written instructions were not clicking with me as quickly as I would have liked. The subsequent diagrams/visuals would only make sense had I understood the written instructions/explanations better."
19,0,4,3,4,5,4,2,4,5,1,1,0,0,1,0,18,2,4,4,2,3,3,4,3,4,4,3,4,"Learning electronics in visual diagrams and expecting to go from that is very intimidating. When reading/watching a presentation about electronics and only using that to learn is very intimidating and makes me feel caught off guard and naked in my skillset when approaching it for the first time. I have also experienced a lack of ""hands-on"" practice with electronics and a space to sit down with a physical model and be free to mess up. There is often not the time, resources, and people to help with learning electronics.","I particularly enjoyed the water comparisons used to describe electronic components (current, voltage, resistance) in the first section. As someone studying Electricity & Magnetism now, I found this incredibly useful as an introduction to understanding circuitry. Additionally, I enjoyed the images of the circuits provided, but would have preferred there to be photos/graphics for each step of completing the circuit. For the Arduino and Joystick pages, I liked that the Arduino information was formatted into sections with bolded words for emphasis of what is important. I find blocks of text containing bulky information to be difficult to read through – articles/sites that utilize clear headlines and broken-up ideas in formatting (such as the ""Things Used in this Project"" section) are very helpful to my learning. However, I think I would have felt more supported in the learning of the material through the inclusion of more graphics, images, bolded text, and more. For example, in the RGB LED Joystick article, I would have enjoyed a photo depiction of a ""5-pin joystick module"" and ""4-pin RBG LED"" earlier in the material before the linked schematic."
20,0,4,2,3,3,4,2,4,4,0,1,0,1,1,0,10,1,4,4,5,5,2,4,5,4,4,3,3,"I am always thinking I need to check back with instructions because I don’t trust my instincts. I feel like with analog learning, I can be more experimental because I’m comfortable. Technology is slightly more intimidating. I like to rely on apps/tech I’m comfortable with and stick to that. ","First, I appreciated how the Workshop factored in what would happen if it didn't work. It made me feel supported in the knowledge that if I couldn't do it the first time, I would have the support in fixing it. Second, I loved how there were short and bite-sized sections. It made the work, initially intimidating, seem feasible. Finally, everything was broken down so explicitly, I felt supported in my knowledge. "
21,0,3,2,4,4,4,3,5,5,0,1,0,1,1,0,20,2,2,4,2,1,4,2,2,3,4,4,1,I just haven’t had the opportunity to experiment  with electronics much. I love creative work and I think I will enjoy learning electronics if I give them a shot but I dont know where to start. I also feel slightly intimidated about dabbling with mechanical and electronic equipment as I cannot operate them just by instinct and I dont know enough about them to correctly work with them. I think its mostly a knowledge and accessibility barrier for me!,"I felt kinda lost through the process because I kept forgetting parts of the material. I liked that the language was very accessible and easy to understand. However, I realized that I need hands-on/kinesthetic teaching to learn electronics because I couldn't retain a lot of the information from the learning material. I definitely think that actually using arduino would have been better than simply reading the information. I also felt like I would learn better if I had more visual cues for each element and each step!"
22,0,5,5,5,5,1,5,4,4,1,1,0,1,0,1,10,2,5,5,2,2,1,5,1,2,2,2,4,"I’m a fourth year student in mechanical engineering now, and have overcome many of these barriers, but certainly still encounter them. It’s difficult to learn electronics when it’s unclear from the start how a Raspberry Pi differs from an Arduino from an ESP. People don’t really know what you can do with electronics, and sometimes it feels like you need to know how to code fluently before getting started. This isn’t true, but it’s hard to convince yourself otherwise. It often also feels like you need to know exactly which motor you need for a project when usually, whatever you have lying around works well :).","The format was very Wikipedia style, which wasn't super fun or easy to read. I don't think it would've been easy to try to follow along with this material while trying to build a circuit, and only the schematics would've been helpful. I think there was a big jump between ""what is Ohm's law"" and ""What is an Arduino"". I don't think Ohm's law is as important in circuits as knowing what Vcc, Vin, Vout, etc are."
23,0,4,4,3,4,3,3,1,4,0,0,1,1,1,0,11,1,4,3,3,2,4,2,2,4,4,3,1,"To be honest, no barriers immediately come to mind, but I think that stems from me not being particularly interested in learning about electronics. But perhaps my reason for not desiring to learn more about electronics comes from feeling like it is not particularly accessible or a welcoming community. Back in high school the robotics team was notoriously misogynistic, and I think that association probably stuck with me. That being said, I never had a point where I actively wanted to learn about electronics but then stopped because of anything/because of an unwelcome environment. Thinking about this makes me feel excited about pushing myself to learn more!","I liked how everything was presented very straightforwardly. I thought the headings were easy to follow and informative and properly clued me in to what I was about to learn. That being said, I think there was still some jargon employed (even in the bits explicitly meant for beginners) that encountering made me feel less confident and more unsure of myself. I would have appreciated a lot more schematics and drawings. Especially when considering circuits or anything that is being physically made, I think it would have been really helpful to have more images or illustrations that give you a concrete example of what is being discussed. While I didn't necessarily feel lost while doing the readings, I think schematics definitely would have made me feel more sure of myself."
24,0,4,4,4,5,3,3,4,5,1,1,0,0,0,1,10,1,4,5,3,3,2,4,4,4,4,3,3,"The main barrier is having a preliminary understanding of electronics/electricity/circuits in general. I feel as if there is some large prerequisite in order to begin building things. Although I’ve done some basic circuit building, it would be difficult to imagine doing it all on my own without a reference / create a new circuit. It really helps to have a clear idea of what it is you want to do though. ","I enjoyed the organization of the DaBL page and thought that the writing was very clear. However, I think part of the straightforwardness of the page probably had to do with my previous experience with electronics. I disliked, however, that there weren't that many images on the page / even the typography did not highlight ""important"" versus ""unimportant"" information. I thought that the Joystick interactive circuit project part 2 page was more engaging, especially because it had an image of the circuit and parts. I thought I would've benefitted from more labeling though, and the code could have been commented more to explain what was going on. I actually really liked the format of the hackster.io circuit project websites––especially the way the sections were split up into parts including story, schematics, and code. I thought it helped in giving me a general overview before delving into specifics. "
25,0,4,4,4,5,4,3,4,3,1,1,0,0,1,0,20,2,4,4,3,4,2,4,4,4,4,2,3,"When experimenting with new technology, the process is not always smooth because of how intricate and unfamiliar it is. For example, even after attending an embroidery workshop at the design center, I was not able to easily navigate the software on my own. This may be because of the complex interface. I followed each step on the zine but still needed help from the design center team when editing and exporting the file. Overall, the task may come with challenges but I always feel proud with my final products.","Reading through the material, I liked how I got a detailed account of the topic because of the neat format and analogies used in the writing. Workshop: Introduction to Electronics and What is Aurdino were helpful readings because they explained the concepts in easy terms. But the hackster articles that described the actual project was not as easy of a read because I was not able to follow along as I read, I couldn't fully visualize. I was overall confused when reading the hackster ""story"" section but got a better understanding after looking at the ""schematics."" Finally, the code was straightforward but would be better if it was heavily commented if a non programmer was looking at it. "
